Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789364869,30,POST,/auth/register-organization,2.333333,0.000000,2200,2500,2700,2700,2800,3500,3500,3500,3500,3500,3500,18,0,2200,1986.6310387220033,791.8378260001191,3455.5058990008547,151.44444444444446
1789364869,30,POST,/incidents [seed],0.666667,0.000000,1300,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,6,0,1200,1197.6803563332699,686.9884779989661,1605.73559200202,507.8333333333333
1789364869,30,POST,/ingest/events,2.000000,0.000000,860,930,1100,1200,1300,1500,1500,1500,1500,1500,1500,17,0,850,799.862401705682,225.7553259987617,1478.4280960011529,67.0
1789364869,30,,Aggregated,8.000000,0.000000,1200,1400,1600,2200,2700,2700,3500,3500,3500,3500,3500,57,0,970,1225.0777308770666,155.39359700051136,3455.5058990008547,211.5438596491228
1789364870,30,POST,/api-keys,1.000000,0.000000,1300,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,7,0,740,896.3704669996722,195.00938199780649,1637.9163980018348,166.0
1789364870,30,POST,/auth/login,1.500000,0.000000,1400,1400,1500,1500,2000,2200,2200,2200,2200,2200,2200,14,0,1200,1114.5064666431738,155.39359700051136,2168.6681040009717,415.0
1789364870,30,POST,/auth/register-organization,2.500000,0.000000,2400,2500,2700,2700,3100,3500,3900,3900,3900,3900,3900,22,0,2200,2149.480468227094,791.8378260001191,3930.708912001137,151.45454545454547
1789364870,30,POST,/incidents [seed],0.750000,0.000000,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1253.2874318749236,686.9884779989661,1605.73559200202,507.75
1789364870,30,POST,/ingest/events,2.500000,0.000000,860,930,1100,1200,1300,1500,1500,1500,1500,1500,1500,20,0,850,826.1084622497947,225.7553259987617,1478.4280960011529,67.0
1789364870,30,,Aggregated,8.250000,0.000000,1300,1500,2100,2200,2700,2800,3500,3900,3900,3900,3900,71,0,1200,1348.0946873661055,155.39359700051136,3930.708912001137,221.2112676056338
1789364871,30,POST,/api-keys,1.000000,0.000000,1200,1300,1400,1400,1600,1600,1600,1600,1600,1600,1600,9,0,1200,971.5862276663959,195.00938199780649,1637.9163980018348,166.0
1789364871,30,POST,/auth/login,1.666667,0.000000,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300,2300,21,0,1400,1295.5064176193057,155.39359700051136,2336.287596997863,415.0
1789364871,30,POST,/auth/register-organization,3.000000,0.000000,2500,2700,3000,3000,3500,3500,3900,3900,3900,3900,3900,27,0,2500,2327.6079176663457,791.8378260001191,3930.708912001137,151.4814814814815
1789364871,30,GET,/incidents,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,232.68579800060252,413.78290050124633,232.68579800060252,594.8800030018901,2265.0
1789364871,30,POST,/incidents [seed],1.000000,0.000000,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,11,0,1400,1315.7735922726386,686.9884779989661,1646.3696079990768,507.6363636363636
1789364871,30,POST,/ingest/events,2.833333,0.000000,930,1100,1200,1300,1500,1700,2000,2000,2000,2000,2000,31,0,860,914.5791451611008,225.7553259987617,1969.4338139997853,67.0
1789364871,30,,Aggregated,9.500000,0.000000,1400,1600,2000,2200,2700,3100,3500,3900,3900,3900,3900,101,0,1300,1410.3797367523757,155.39359700051136,3930.708912001137,262.2772277227723
1789364872,30,GET,/alerts,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,167.19940000257338,167.19940000257338,167.19940000257338,167.19940000257338,2.0
1789364872,30,POST,/api-keys,1.000000,0.000000,750,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,21,0,740,842.2299556664906,195.00938199780649,1637.9163980018348,166.0
1789364872,30,POST,/auth/login,2.000000,0.000000,1400,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364872,30,POST,/auth/register-organization,3.142857,0.000000,2700,2800,3100,3200,3500,3500,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
1789364872,30,GET,/incidents,0.000000,0.000000,410,410,410,410,410,410,410,410,410,410,410,3,0,410,412.8328173343713,232.68579800060252,594.8800030018901,2265.0
